timestamp,pid,ppid,name,cmdline,cpu_percent,memory_percent,rss_mb,read_bytes_per_sec,write_bytes_per_sec,context_switches_per_sec,minor_page_faults_per_sec,major_page_faults_per_sec,num_threads,status,workload_type
2026-09-22T13:41:55,1,0,systemd,/sbin/init,0.0,0.1643,12.73,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,2,1,init-systemd(Ub,/init,0.0,0.0279,2.16,0,0,0,0,0,2,sleeping,memory
2026-09-22T13:41:55,7,2,init,plan9 --control-socket 7 --log-level 4 --server-fd 8 --pipe-fd 10 --log-truncate,0.0,0.0268,2.08,0,0,0,0,0,2,sleeping,memory
2026-09-22T13:41:55,43,1,systemd-journald,/usr/lib/systemd/systemd-journald,0.0,0.2002,15.51,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,98,1,systemd-udevd,/usr/lib/systemd/systemd-udevd,0.0,0.0762,5.91,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,177,1,systemd-resolved,/usr/lib/systemd/systemd-resolved,0.0,0.1656,12.83,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,178,1,systemd-timesyncd,/usr/lib/systemd/systemd-timesyncd,0.0,0.1002,7.77,0,0,0,0,0,2,sleeping,memory
2026-09-22T13:41:55,188,1,cron,/usr/sbin/cron -f -P,0.0,0.0338,2.62,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,189,1,dbus-daemon,@dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only,0.0,0.0669,5.18,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,203,1,systemd-logind,/usr/lib/systemd/systemd-logind,0.0,0.1112,8.62,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,217,1,agetty,/sbin/agetty -o -p -- \u --noclear - linux,0.0,0.0249,1.93,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,223,1,rsyslogd,/usr/sbin/rsyslogd -n -iNONE,0.0,0.0758,5.87,0,0,0,0,0,4,sleeping,memory
2026-09-22T13:41:55,236,1,unattended-upgr,/usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal,0.0,0.2778,21.53,0,0,0,0,0,2,sleeping,memory
2026-09-22T13:41:55,256,1,apache2,/usr/sbin/apache2 -k start,0.0,0.0634,4.91,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,257,256,apache2,/usr/sbin/apache2 -k start,0.0,0.0734,5.69,0,0,0,0,0,27,sleeping,memory
2026-09-22T13:41:55,259,256,apache2,/usr/sbin/apache2 -k start,0.0,0.0734,5.69,0,0,0,0,0,27,sleeping,memory
2026-09-22T13:41:55,386,2,login,/bin/login -f      ,0.0,0.0584,4.53,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,429,1,systemd,/usr/lib/systemd/systemd --user,0.0,0.145,11.24,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,430,429,(sd-pam),(sd-pam),0.0,0.0451,3.49,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,452,386,bash,-bash,0.0,0.0642,4.98,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,486,2,SessionLeader,/init,0.0,0.0142,1.1,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,487,486,Relay(488),/init,0.0,0.0159,1.23,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,488,487,bash,-bash,0.0,0.0665,5.16,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,696,2,SessionLeader,/init,0.0,0.0143,1.11,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,697,696,Relay(698),/init,0.0,0.0152,1.18,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,698,697,sh,"sh -c ""$VSCODE_WSL_EXT_LOCATION/scripts/wslServer.sh"" 7debcd0e2acdea1c52de81bf9ee1620444407dda stable code-server .vscode-server --host=127.0.0.1 --port=0 --connection-token=826864117-4248089396-2109865724-2149592531 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all",0.0,0.024,1.86,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,699,698,sh,sh /mnt/c/Users/Rohan/.vscode/extensions/ms-vscode-remote.remote-wsl-0.104.3/scripts/wslServer.sh 7debcd0e2acdea1c52de81bf9ee1620444407dda stable code-server .vscode-server --host=127.0.0.1 --port=0 --connection-token=826864117-4248089396-2109865724-2149592531 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all,0.0,0.0251,1.95,0,0,0,0,0,1,sleeping,memory
2026-09-22T13:41:55,705,699,sh,sh /home/rohan/.vscode-server/bin/7debcd0e2acdea1c52de81bf9ee1620444407dda/bin/code-server --host=127.0.0.1 --port=0 --connection-token=826864117-4248089396-2109865724-2149592531 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all,0.0,0.025,1.93,0,0,0,0,0,1,sleeping,memory
